index,sid,text,polarity,file,label,domain_confidence,domain
11553,-,این پورت سرعت انتقال داده‌ها‌ی به مراتب بالاتری را نسبت به پورت‌ها‌ی USB ۲٫۰ فراهم می‌آورد.,1,data/extra/Asus N43SM-C_Hosseini.xml,1,0.998639541096054,1
5144,-,با سلام من این گوشی رو سفارش دادم و فعلا نمی‌دونم چه جوریه اما چیزی که می‌شه ملاک مقایسه قرار داد مقایسه این گوشی باhtc desire v هست که اختلاف قیمت بین این دو گوشی وجود داره ضمن اینکه این گوشی از باطری قوی‌تر، گارانتی، نسخه جدیدتر اندروید و کیفیت فیلم برداری بالاتر برخورداره و نظر شخصی من LG برند بهتری نسبت به سامسونگ هست مخصوصا با اختلاف قیمت فاحش و اون دسته از دوستانی که میگن LG برند نیست شاید تبلیغات LG در حد سامسونگ نبوده اما حداقل تجربه من از LG رضایت بخش بوده در ضمن دوستان عزیز این گوشی رو باید با هم رده‌های خودش مقایسه کنن و مثلا توقع ۴x رو از این گوشی نداشته باشن اما نسبت به قیمت بسیار مناسبه.,1,data/extra/LG Optimus L7 II Dual P715.xml,1,0.9959480166435242,0
0,gr-32-1,"اما در مورد باتری با این که باتری قلمی میخوره ولی مدت زمان عکس برداری بالایی داره 
و با این که برای تست از باتری معمولی (آلکا) استفاده کردم مدت خیلی طولانی جواب داد 
و این مساله نشان‌گر این است که اگر به جای این باتری‌ها از باتری شارژی (برای مثال نیکل ۲۳۰۰) استفاده کنیم خیلی طولانی‌تر هم میتونیم باهاش عکاسی کنیم 
در مورد دکمه‌ها: دکمه‌های خیلی روانی داره 
مخصوصا دکمه روشن خاموشش که من در مورد اون نگران بودم 
ولی یک جای نگرانی هم داره و اون هم در مورد دکمه مربوط به زوم هست: چون زوم دستی نداره اگر خیلی از این دکمه استفاده بشه و اگر قرار باشه کودکی اون رو استفاده کنه ممکنه زود خراب بشه 
",-1,data/main/Fujifilm Finepix S3200.xml,0,0.9963373288046569,1
1693,-,در مورد دوربین هم بسیار با کیفیت ساخته شده و در بدنه مشکل نیست فقط صفحه نمایش کیفیت پایینی دارد.,1,data/extra/Fujifilm Finepix S3200_Hosseini.xml,1,0.9964238880202174,1
11042,-,باطری کارکرد متوسطی دارد و هنگام دیدن فیلم و اینترنت و بازی ۵ ساعت بیشتر نمی‌توانید استفاده کنید.,-1,data/extra/Huawei U8825D Ascend G330.xml,0,0.9901162162423134,1
16,rev-17,همچنین این دستگاه مجهز به ۵ پورت USB (Universal Serial Bus)، یک پورت مخصوص Kinect، خروجی‌های HDMI وAV، خروجی TOSLINK و همچنین شبکه بی سیم Wi-Fi بوده که نه تنها نیاز کاربر برای گیم و بازی کردن را برطرف می‌کند بلکه مانند دیگر رقبای خود (از جمله Sony PS۳) امکان دسترسی به اینترنت، ذخیره و پخش فایل‌های چند رسانه‌ای (مالتی مدیا) را نیز برای کاربر فراهم می‌کند.,1,data/main/Microsoft Xbox 360 Slim 250GB Console with Kinect.xml,1,0.9980407289694995,1
6931,-,این به نظر من میتونه انتخاب خوبی باشه چون هم سبکه هم نسبتا قدرتمند,1,data/extra/Sony Xperia Tipo.xml,1,0.998853325843811,0
9639,-,من راضی نیستم چون با اینترنتش راحت نمیشه کار کرد,-1,data/extra/Samsung LED 40ES6950.xml,0,0.9994692206382751,0
6405,-,• باتریباتری استفاده شده در Neo L یک باتری لیتیوم یونی ۱۵۰۰ آمپریست که برای بیش از ۷ ساعت مکالمه ممتد انرژی ذخیره می‌سازد.,1,data/extra/Sony Xperia Neo L.xml,1,0.9986087984871119,1
5461,-,شارژ رو خوب نگه می‌داره کیفیت عکس و فیلمش خیلی خوبه قابلیت‌های زیادی برای تنظیم داره البته من بیشتر از حالت اتوماتیکش استفاده می‌کنم,2,data/extra/Canon PowerShot SX230 HS.xml,1,0.9994258880615234,0
4279,-,شما این ریموت ضد آب و قابل اتصال به لباس را می‌توانید به طور جداگانه برای نسخه‌های مشکی و سفید خریداری کنید.,1,data/extra/GoPro Hero3 Silver Edition.xml,1,0.9973906942177564,1
7012,-,البته متاسفانه ابن قابلیت در مورد تمامی برنامه‌ها کاربرد ندارد و تعدادی از برنامه‌ها از جمله S-Note، مرورگر، ویدئوپلیر و آفیس را شامل می‌شود که امیدواریم در نسخه‌های بعدی سیستم عامل، سامسونگ این نقیصه را نیز برطرف نماید.,-1,data/extra/Samsung Galaxy Note N5100 - 16GB_Hosseini.xml,0,0.9982308021280915,1
13,rev-14,GPS داخلی ویژگی بسیار خوبی است که بر روی FT۳ وجود دارد.,2,data/main/(Panasonic Lumix DMC-FT3 (TS3.xml,1,0.9980648551136255,1
0,gr-13-1,فکر می‌کنم در حال حاضر، بهترین تبلت هفت اینچی دنیا، همین مدل است.,2,data/main/Asus Google Nexus 7 3G - 32GB.xml,1,0.9935121480375528,1
1,gr-30-2,کیفیت بدنش متوسط رو به خوب.,1,data/main/Huawei Ascend Y300.xml,1,0.9961963891983032,0
0,gr-15-1,"با اینترنت محدود ایران و تحریم‌ها اپل تو کشور ما کارایی اش جالب نیست 
اندروید از نظر من حرف اول رو میزنه تو ایران",-1,data/main/Apple iPhone 5 - 32GB.xml,0,0.9986311793327332,0
27,cr-1-28,بدون اشکال!,1,data/main/Apple Ipod Touch 5th Generation - 64GB.xml,1,0.9909507036209106,0
8322,-,شاید انتظار یک سنسور تصویر BSI-CMOS را از آن‌ها داشتیم ولی به هر صورت ایزو یا حساسیت سنسور می‌تواند تا ۶۴۰۰ بالا برود که برای عکاسی در شرایط نوری ضعیف عالیست.,2,data/extra/Fujifilm FinePix SL260.xml,1,0.9987023065332323,1
0,gr-30-1,الان ۱ هفته شده که استفاده میکنم، همه چیزش خوبه بجز ۲ مورد که یکم آدمو ناراحت میکنه: باتریش که نهایت ۲۰ ساعت کار میده با استفاده نرمال و کلیدهای سخت افزاریش که بعضی مواقع باید بیشتر از ۲_۳ بار فشار داد.,-1,data/main/Sony Xperia Ion.xml,0,0.9981765747070312,0
7671,-,به همین دلیل، کاربران Sleekbook زمان بیشتری را صرف تمیز کردن نوت بوک خود سپری خواهند کرد.,-1,data/extra/HP Pavilion Sleekbook 14-b009tu.xml,0,0.9977388319093734,1
4654,-,خوبه,1,data/extra/Canon Powershot SX50 HS.xml,1,0.9995275735855103,0
6,rev-7,• صفحه نمایش و بلندگوها صفحات نمایشی که بر روی این لپ‌تاپ‌ها قرار دارد، واقعا خوب است.,1,data/main/Samsung NP300E5V-A08AE.xml,1,0.998466026620008,1
30,rev-31,همچنان در رابط کاربری این گوشی هم شاهد ۵ صفحه‌ی خانگی هستیم که امکان حذف هیچ کدام وجود ندارد.,-1,data/main/Sony Xperia Miro.xml,0,0.9983560553519055,1
5943,-,ممنون.,1,data/extra/Canon EOS 650D Kit EF-18-55 IS.xml,1,0.9916908740997314,0
6398,-,هماهنگی خوب سخت‌افزار و نرم‌افزار در این مدل، باعث گردیده که در هنگام کار با آن، سرعت عمل انجام دستورات را احساس کنید.,1,data/extra/Sony Xperia Neo L.xml,1,0.9987244362710044,1
10030,-,سلام از سایت خوبتون ممنون به نظر من این دوربین برای کسی که میخواد عکاسی رو در سطح پیشرفته آغاز کنه عالیه و بعد از ۶۰D بهترین گزینست دوربین جدید کنن ۶۵۰D، به نظرم الان با صرفه نیست که اون دوربین رو بخریم چون تازه اومده و قیمتش بالاست,2,data/extra/(Canon EOS 600D (Kiss X5 - Rebel T3i.xml,1,0.9944844841957092,0
0,gr-23-1,واقعا ارزش نداره.,-1,data/main/Apple iPhone 5 - 16GB.xml,0,0.9985321760177612,0
6132,-,پلاستیکی بودن جنس بدنه و کیفیت پایین صفحه نمایش برای من قابل چشم پوشی نیست هر قدر هم که ارزون باشه تاثیری در نظر من نداره.,-2,data/extra/Fujitsu Stylistic M532.xml,0,0.9948477745056152,0
33,rev-34,با اینکه صفحه نمایش Note ۸ در مقایسه با بسیاری از رقبایش خیلی فوق‌العاده نیست و حتی از Note ۱۰٫۱ نیز ضعیف‌تر است، اما در کل عملکرد آن بسیار خوب و مناسب است که رضایت کاربر را جلب می‌نماید.,1,data/main/Samsung Galaxy Note N5100 - 16GB.xml,1,0.9983563238056377,1
46,rev-47,برای مثال مدل X۵۳SV که دارای صفحه نمایش ۱۵٫۶ اینچی بوده و از پردازنده‌ی دو هسته‌ای Intel Core i۵ و کارت گرافیک NVIDIA GeForce GT ۵۴۰M بهره می‌برد، در تست مرورگری اینترنت از طریق Wi-Fi با روشنایی متوسط صفحه نمایش، توانست بیش از ۴ ساعت و ۱۵ دقیقه شارژدهی کند که میزان نسبتا خوبیست.,1,data/main/Asus X43SD.xml,1,0.9980891641462222,1
42,rev-43,به هر صورت فاصله‌ی کانونی معادل ۲۵ میلی متر باعث شده است که این دوربین یکی از وایدترین لنزها را در بین دوربین‌های غیر DSLR داشته باشد.,1,data/main/Sony Cyber-Shot DSC-HX10V.xml,1,0.9988277152879164,1
3,gr-15-4,یه سر و گردن از htc sensation بالاتره و اصلا قابل مقایسه نیستن.,1,data/main/Samsung Galaxy S II I9100 - 16GB.xml,1,0.9923487901687622,0
23,rev-24,"سامسونگ واقعا در ساخت این لپ‌تاپ‌ها با توجه به قیمت پایینی که دارند، طراحی و مواد اولیه فوق‌العاده خوبی را به کار برده و به اصطلاح ""سنگ تمام گذاشته است!",2,data/main/Samsung NP300E5V-A08AE.xml,1,0.9974010651931167,1
1,gr-4-2,سامسونگ و ال‌جی همیشه بهترینن.,2,data/main/Samsung Galaxy S III I9305 - 16GB.xml,1,0.9917411804199219,0
11285,-,رزولوشن تصاویر ۲۴۴۸×۳۲۶۴ پیکسل می‌باشد و تصاویر گرفته شده با دوربین این گوشی کیفیت فوق‌العاده بالایی دارند.,2,data/extra/Samsung I9082 Galaxy Grand Duos_Hosseini.xml,1,0.9989971317118034,1
0,cr-1-1,حدود یک هفته‌ای میشه که این نت بوک رو از دیجی کالا تهیه کردم و ممنونم به دلیل بسته بندی بسیار عالی که نگرانی بزرگ من در خرید اینترنتی بود، خدارو شکر که دیجی کالا تو این مورد سنگ تموم گذاشت.,2,data/main/Asus N43SM-C.xml,1,0.9987733960151672,0
115,-,این قلم نه از نظر ظاهری و نه از لحاظ کارایی، شباهت زیادی به قلم Note‌های سامسونگ ندارد و بیشتر می‌توان آن‌را یک قلم کمکی نامید که در کار با گوشی به کاربر کمک می‌نماید اما قابلیت‌های فوق‌العاده‌ای ندارد.,-1,data/extra/LG Optimus Vu P895_Hosseini.xml,0,0.9968505166471004,1
2,cr-6-3,استحکام و دیزاین آن حتی زمانی که به داک مجهز می‌شود حیرت آور است و کاربر حس خوبی را درک می‌کند!,1,data/main/Asus Transformer Pad Infinity TF700T 64GB + Dock.xml,1,0.9982851716922596,1
1529,-,متاسفانه این دستگاه امکان چاپ بر روی CD را ندارد که اگر این ویژگی را نیز داشت می‌توان گفت دیگر چیزی کم نداشت ولی با این حال باز هم یکی چاپگر بسیار مناسب از لحاظ کارکرد و همچنین قیمت است.,1,data/extra/Canon Pixma MX374_Hosseini.xml,1,0.9984655830776319,1
13103,-,به علاوه صدای بیس تولید شده نیز کاملا رضایت بخش می‌باشد و مسلما دوست داران گوش کردن به موسیقی و تماشای فیلم از کیفیت صوتی این تبلت راضی خواهند بود.,1,data/extra/Asus Transformer Pad Infinity TF700T 64GB + Dock_Hosseini.xml,1,0.99643758777529,1
8200,-,مقاومت در برابر تکان‌های وارد شده از ضربهمهم نیست محیط جایی که در آن کار می‌کنید یا بازی می‌کنید به چه میزان خشن و سخت باشد، ساختار با دوام قابلیت اعتماد به دسترسی اطلاعات را فراهم می‌کند.,1,data/extra/ADATA S007 - 4GB.xml,1,0.9946914799511433,1
66,rev-67,همچنان که با آن به راحتی می‌توانید به عکاسی زیر آب نیز بپردازید.,1,data/main/(Panasonic Lumix DMC-FT3 (TS3.xml,1,0.998902051942423,1
5,rev-6,همان لبه‌های منحنی و همان کلید دایره‌ای Home در قسمت پایین و البته نهایتا همان صفحه نمایش رتینای دوست داشتنی، البته کمی بزرگ‌تر.,1,data/main/Apple iPhone 5 - 16GB.xml,1,0.9985076354350895,1
2710,-,اما کاربرد دیگر آن می‌تواند در نمایش تصاویر جذاب و جلب توجه کننده برای کودکان باشد تا به بهانه‌ی آن تصویر به دوربین نگاه کنند و بتوانید عکسی تمام رخ از کودک بگیرید.,1,data/extra/Samsung DV300F_Hosseini.xml,1,0.9986071517923847,1
10488,-,کیفیت فیلم برداری: عالی کیفیت عکس برداری: خیلی ضعیف (در حدی کمتر از دوربین‌های ۳٫۲ مگا پیکسلی) کارایی باتری: مثل اکثر مدلهای اکسپریا ضعیف ابعاد صفحه نمایش: به خاطر صفحه نمایش کوچک و در نتیجه صفحه کلید کوچک باید کلا قید نوشتن پیامک به زبان فارسی را بزنید.,-1,data/extra/Sony Ericsson Xperia Mini.xml,0,0.9955069851130247,1
5539,-,واقعا خیلی خوبه.,2,data/extra/Canon PowerShot SX230 HS.xml,1,0.9992560744285583,0
9504,-,رم بسیار بالای آن، قابلیت Multi-tasking، قدرت بالا در اجرای سنگین‌ترین برنامه‌های گرافیکی و البته قلم بسیار کاربردی آن.,2,data/extra/Samsung Galaxy Note 10.1 N8000 - 16GB.xml,1,0.9984178545419127,1
2,gr-104-3,ما چیپست A۵ اپل را در آیپد ۳ دیده بودیم و طبق پنجمارک‌ها این چیپست چهار برابر از چیپست تگرا ۳ بکار برده شده در ONE X قوی‌تر است.,1,data/main/Apple iPhone 5 - 16GB.xml,1,0.9982811342924833,1
389,-,چنین دوربینی کاملا می‌تواند استفاده‌ی حرفه‌ای داشته باشد و مورد علاقه‌ی بسیاری از عکاسان قرار گیرد.,1,data/extra/Fujifilm X-Pro1_Hosseini.xml,1,0.9982415906852111,1
3207,-,بنابراین جزو تبلت‌های هفت اینچی سبک وزن بازار محسوب نمی‌گردد.,-1,data/extra/Asus Fonepad ME371 - 8GB.xml,0,0.9957198086194694,1
5285,-,البته مانند گوشی‌های سطح بالای ال‌جی مثل ۴X HD، در این گوشی از نظر امکانات نرم افزاری، شگفت زده نخواهید شد.,-1,data/extra/LG Optimus L7 II Dual P715.xml,0,0.9980976806255057,1
41,rev-42,با فن‌آوری ابری می‌توانید در مواقعی که خانه نیستید نیز بیشترین بهره را از فایل‌ها و محتواهای خویش ببرید.,1,data/main/Samsung LED 55ES8880.xml,1,0.9983723417390138,1
11,rev-12,• سخت افزار پردازنده یک گیگا هرتزی که در این گوشی به کار رفته، سبب جلب رضایت کامل کاربر در هنگام کار با گوشی، استفاده از برنامه‌های مختلف و یا گشت زنی در اینترنت گشته است.,1,data/main/Nokia Asha 302.xml,1,0.9986905420664698,1
5305,-,اولا: تصویر برداری با ان بسیار سخت میباشد به دلیل نداشتن دکمه تله واید روی دستگاه و سفت بودن رینگ زوم روی لنز اورجینال که چرخاندن ان و تله واید کردن باعث تکان خوردن دوربین شده و تصویر را خراب میکند و در ضمن صدای ان هم درتصویر ضبط میشود.,-2,data/extra/Sony NEX-VG10_Hosseini.xml,0,0.9985530193662271,1
8572,-,لولاها نیز صفحه نمایش را محکم در جای خود نگاه می‌دارند.,1,data/extra/IBM Lenovo Essential G585-D.xml,1,0.9985676229698583,1
21,rev-22,از آن جایی که برخلاف بسیاری از مدل‌های سطح بالاتر موتور Bravia نیز بر روی آن وجود ندارد، بنابراین در تماشای فیلم و عکس‌ها هم نمی‌توانید از آن شفافیت خیره کننده لذت ببرید.,-1,data/main/Sony Xperia Miro.xml,0,0.9989666708279401,1
0,gr-1-1,من یکی دارم و خیلی هم شیک و بادوام هستش و یه راهنمایی: حتما از برنامه iTunes استفاده کنید و آهنگ هاتون رو همینجوری داخل خود آی پاد شافل کپی نکنید که کار نمیکنه.,2,data/main/Apple Ipod Shuffle.xml,1,0.9975107908248901,0
5120,-,سلام به همه دوستان اول یه تشکر ویژه دارم از دیجی کالا بابت بسته بندی خوب و همچنین فروشگاه مجازیشون گوشی همین الان به دستم رسید خیلی گوشی زیبا و شکیلی هستش از نظر طراحی و همچنین فکر نمیکردم صفحه نمایشش اینقدر با کیفیت باشه,2,data/extra/LG Optimus L7 II Dual P715.xml,1,0.9970263838768005,0
7782,-,فیلم‌های گرفته شده با این تبلت جزئیات قابل قبولی را نشان داده و از کیفیت صوتی بسیار مناسبی برخوردارند.,2,data/extra/Samsung Galaxy Tab 2 7.0 P3100 - 16GB_Hosseini.xml,1,0.9970091495197266,1
2994,-,برای اپلی‌ها انتخاب مناسبیه.,1,data/extra/Apple iPad mini WiFi-16GB.xml,1,0.9982638955116272,0
8239,-,اپل فقط تو کاره فانتزی بودنه ولی سامسونگ داره روز به روز به کارایی هاش اضافه می‌کنه,1,data/extra/Samsung Galaxy S III I9305 - 16GB.xml,1,0.9989390969276428,0
5833,-,زود لق میشه.,-2,data/extra/HTC Desire V.xml,0,0.9980035424232483,0
1,gr-34-2,ps۳ واقعا فوق العاده اس.,2,data/main/Microsoft Xbox 360 Elite.xml,1,0.9951745867729187,0
32,rev-33,عملکرد فوق‌العاده‌ی پردازنده، این گوشی را در بین برترین‌ها قرار داد، اما پردازشگر گرافیکی این دستگاه، عملکردی خوب و البته نه چندان فوق‌العاده دارد.,1,data/main/Asus PadFone - 16GB.xml,1,0.9988341213902459,1
18,rev-19,در عوض همه‌ی کنترل‌های لمسی و غیر لمسی ارگونومی بسیار خوبی دارند و عملکردشان کاملا راضی کننده است.,2,data/main/Samsung Galaxy S II Plus I9105 - 8GB.xml,1,0.9927680445834994,1
17,rev-18,این را هم بگوییم که سیستم عامل سیمبین از قدیم الایام از Multi Tasking یا اعمال چند وظیفه‌ای و Copy & Paste نیز پشتیبانی می‌کند.,1,data/main/Nokia 500.xml,1,0.9988474175333977,1
13015,-,این در حالیست که NX۵۱۵ کمتر از نصف این میزان به زمان احتیاج دارد.,1,data/extra/HP PhotoSmart D110A.xml,1,0.9985269355820492,1
9658,-,طراحی One با زیبایی هرچه تمام‌تر بدنه تلویزیون ال ای دی را با پانل تصویری آن در هم می‌آمیزد تا کلیه موانع موجود بر سر راه یک تجربه تمام عیار مشاهده را از بین ببرد.,1,data/extra/Samsung LED 40ES6950.xml,1,0.9974027136340737,1
1,cr-1-2,حالا در کنار مشخصات بینظیرش همچون: * پردازنده خوب* نمایشگر خوب* پشتیبانی واقعی* باتری خوب* طراحی عالی* وزن معقول* سایز ۷ اینچی (به نظرم بهترین سایز برای تبلت) * قیمت فوق العاده (البته تو ایران میشه سرسام آور) به نوعی میشه گفت کلکسیون امکانات این تبلت کامل شد، گرچه اگه امکان استفاده از MicroSD و دوربین پشت دستگاه فراهم میشد دیگه جای هیچ بحثی نبود اما تا همین جا هم واقعا عالی شد.,2,data/main/Asus Google Nexus 7 3G - 32GB.xml,1,0.9977901366073638,1
5,gr-20-6,دوربین‌های ژاپنی همشون عالین.,2,data/main/Sony Cyber-Shot DSC-HX200V.xml,1,0.9902010560035706,0
3317,-,فقط مقداری خطای رنگی بنفش در مناطق پر کنتراست و گوشه‌های تصویر مشاهده می‌شود.,-1,data/extra/(Canon IXUS 240 HS (PowerShot ELPH 320 HS_Hosseini.xml,0,0.9959277976304293,1
21,rev-22,مرورگری اینترنت نیز در این گوشی با سرعت بالا انجام خواهد پذیرفت.,1,data/main/LG Optimus True HD LTE P936.xml,1,0.9988219881197438,1
11577,-,برای اسکن عکس نیز چندان دقت رنگی بالایی ندارد و رزولوشن پایین نیز باعث می‌شود که جزئیات را خیلی عالی ثبت نکند ولی به هر صورت اسکنری ارزان قیمت است.,-1,data/extra/HP Scanjet G2410_Hosseini.xml,0,0.9977713557891548,1
53,rev-54,اما قابلیت اجرای همزمان دو برنامه در این تبلت به بهترین شکل به اجرا در آمده است.,1,data/main/Samsung Galaxy Note N5100 - 16GB.xml,1,0.9987436704104766,1
7,rev-8,این دوربین فیلم برداری با باتری لیتیوم-یونی قابل تعویض همراه شده است.,1,data/main/Canon Legria HF R206.xml,1,0.9988314646761864,1
0,gr-1-1,"با سلام 
من حدودا دو ماهه که خریدمش و گوشی خیلی خوبیه و دوستی که گفته بودن صدای اهنگش در محیط باز کمه برن هر گوشی دیگه‌ای رو میخوان امتحان کنن امکان نداره کیفیت صداش به پای ایون برسه.",1,data/main/Sony Xperia Ion.xml,1,0.9985374212265015,0
